RandomChoice,TypeChoice,MaxChoice,MinChoice,TotalExperiences,TauxAssociativite
rand() / RAND_MAX,double,2000,0,50000,74.71
rand() / RAND_MAX,double,2000,0,100,76.0
rand() / RAND_MAX,double,2000,0,3000,75.6
rand() / RAND_MAX,double,2000,0,3,66.67
rand() / RAND_MAX,double,2000,0,80000,74.62
rand() / RAND_MAX,double,2000,0,600,75.0
rand() / RAND_MAX,double,2000,100,50000,74.94
rand() / RAND_MAX,double,2000,100,100,78.0
rand() / RAND_MAX,double,2000,100,3000,75.83
rand() / RAND_MAX,double,2000,100,3,66.67
rand() / RAND_MAX,double,2000,100,80000,74.89
rand() / RAND_MAX,double,2000,100,600,72.83
rand() / RAND_MAX,double,2000,-50,50000,74.74
rand() / RAND_MAX,double,2000,-50,100,86.0
rand() / RAND_MAX,double,2000,-50,3000,75.4
rand() / RAND_MAX,double,2000,-50,3,100.0
rand() / RAND_MAX,double,2000,-50,80000,74.68
rand() / RAND_MAX,double,2000,-50,600,73.5
rand() / RAND_MAX,double,2000,-800000,50000,81.46
rand() / RAND_MAX,double,2000,-800000,100,84.0
rand() / RAND_MAX,double,2000,-800000,3000,79.8
rand() / RAND_MAX,double,2000,-800000,3,100.0
rand() / RAND_MAX,double,2000,-800000,80000,81.41
rand() / RAND_MAX,double,2000,-800000,600,79.83
rand() / RAND_MAX,double,2000,-20,50000,74.16
rand() / RAND_MAX,double,2000,-20,100,79.0
rand() / RAND_MAX,double,2000,-20,3000,74.37
rand() / RAND_MAX,double,2000,-20,3,100.0
rand() / RAND_MAX,double,2000,-20,80000,74.59
rand() / RAND_MAX,double,2000,-20,600,70.5
rand() / RAND_MAX,double,2000,1000,50000,93.25
rand() / RAND_MAX,double,2000,1000,100,94.0
rand() / RAND_MAX,double,2000,1000,3000,93.47
rand() / RAND_MAX,double,2000,1000,3,100.0
rand() / RAND_MAX,double,2000,1000,80000,93.22
rand() / RAND_MAX,double,2000,1000,600,94.5
rand() / RAND_MAX,double,200,0,50000,75.34
rand() / RAND_MAX,double,200,0,100,80.0
rand() / RAND_MAX,double,200,0,3000,75.13
rand() / RAND_MAX,double,200,0,3,66.67
rand() / RAND_MAX,double,200,0,80000,75.17
rand() / RAND_MAX,double,200,0,600,77.67
rand() / RAND_MAX,double,200,100,50000,92.89
rand() / RAND_MAX,double,200,100,100,95.0
rand() / RAND_MAX,double,200,100,3000,92.6
rand() / RAND_MAX,double,200,100,3,100.0
rand() / RAND_MAX,double,200,100,80000,92.86
rand() / RAND_MAX,double,200,100,600,93.0
rand() / RAND_MAX,double,200,-50,50000,75.48
rand() / RAND_MAX,double,200,-50,100,69.0
rand() / RAND_MAX,double,200,-50,3000,75.13
rand() / RAND_MAX,double,200,-50,3,33.33
rand() / RAND_MAX,double,200,-50,80000,75.53
rand() / RAND_MAX,double,200,-50,600,79.17
rand() / RAND_MAX,double,200,-800000,50000,81.46
rand() / RAND_MAX,double,200,-800000,100,80.0
rand() / RAND_MAX,double,200,-800000,3000,81.03
rand() / RAND_MAX,double,200,-800000,3,66.67
rand() / RAND_MAX,double,200,-800000,80000,81.28
rand() / RAND_MAX,double,200,-800000,600,81.33
rand() / RAND_MAX,double,200,-20,50000,75.02
rand() / RAND_MAX,double,200,-20,100,76.0
rand() / RAND_MAX,double,200,-20,3000,73.37
rand() / RAND_MAX,double,200,-20,3,100.0
rand() / RAND_MAX,double,200,-20,80000,75.03
rand() / RAND_MAX,double,200,-20,600,76.17
rand() / RAND_MAX,double,200,1000,50000,81.89
rand() / RAND_MAX,double,200,1000,100,76.0
rand() / RAND_MAX,double,200,1000,3000,80.83
rand() / RAND_MAX,double,200,1000,3,66.67
rand() / RAND_MAX,double,200,1000,80000,81.55
rand() / RAND_MAX,double,200,1000,600,78.5
rand() / RAND_MAX,double,50,0,50000,74.79
rand() / RAND_MAX,double,50,0,100,81.0
rand() / RAND_MAX,double,50,0,3000,76.13
rand() / RAND_MAX,double,50,0,3,66.67
rand() / RAND_MAX,double,50,0,80000,74.86
